ID号,用户标识,月,姓名,年龄,职业,年收入,月基本工资,银行账户数,信用卡数,信用卡利率,获得的贷款数量,贷款类型,平均延迟付款天数,平均延迟付款次数,信用卡限额变化率,信用卡查询次数,剩余债务,信用卡使用率,信用年龄,仅还款最低金额,月投资额,付款行为,月余额,评分等级
58,CUS0x6bd,February,Kirstinm,22,Engineer,20981.46,1611.455,5,5,6,4,"Not Specified, Credit-Builder Loan, Home Equity Loan, and Debt Consolidation Loan",9,7,15.02,1,793.39,26.34116716,17 Years and 6 Months,Yes,123.0940963,LowspentLargevaluepayments,270.7224477,2
59,CUS0x49e3,June,,28,Doctor,45139.08,,7,9,19,6,"Payday Loan, Not Specified, Debt Consolidation Loan, Not Specified, Payday Loan, and Credit-Builder Loan",13,21,9.16,16,1419.66,26.89545727,,Yes,72.05987904,HighspentMediumvaluepayments,378.0530392,1
60,CUS0x117f,April,,51,Scientist,93847.86,7599.655,3,4,12,3,"Mortgage Loan, Credit-Builder Loan, and Home Equity Loan",14,8,11.52,1,1405.22,36.46797215,16 Years and 1 Months,No,337.6263595,!@9#%8,495.6124386,2
61,CUS0xa138,February,Arefu,23,Developer,20890535,10474.35667,7,7,18,2,"Auto Loan, and Mortgage Loan",18,8,15.84,7,270.36,27.06218071,,Yes,209.7151686,!@9#%8,948.5399262,2
62,CUS0x1899,February,Pineaun,42,Writer,59908.68,5185.39,3,5,33,5,"Home Equity Loan, Not Specified, Not Specified, Payday Loan, and Credit-Builder Loan",24,12,,12,2561.65,33.4204319,14 Years and 4 Months,Yes,515.768438,LowspentMediumvaluepayments,81.56191117,1
63,CUS0x1be8,May,Patrick Temple-Westu,23,Scientist,63528.7,,4,6,9,3,"Auto Loan, Student Loan, and Not Specified",21,10,7.09,3,617.89,28.90623202,,No,174.8203134,HighspentMediumvaluepayments,460.1076861,1
64,CUS0xa93b,February,Herbert Lashf,41,MediaManager,59597.84,,7,5,32,9,"Not Specified, Student Loan, Payday Loan, Debt Consolidation Loan, Credit-Builder Loan, Personal Loan, Student Loan, Credit-Builder Loan, and Student Loan",59,15,29.53,11,3111.29,26.34570198,1 Years and 0 Months,Yes,98.57998773,HighspentSmallvaluepayments,311.189399,2
65,CUS0x14ca,March,Bosellip,28,Teacher,122028.48,9899.04,1782,7,8,3,"Home Equity Loan, Debt Consolidation Loan, and Mortgage Loan",33,8,,4,53.04,38.84399065,25 Years and 5 Months,NM,228.0386294,HighspentLargevaluepayments,711.3468335,1
66,CUS0x1d8d,August,Leahp,21,,17137.57,1617.130833,8,7,34,9,"Debt Consolidation Loan, Student Loan, Debt Consolidation Loan, Mortgage Loan, Auto Loan, Student Loan, Student Loan, Debt Consolidation Loan, and Debt Consolidation Loan",21,20,25.45,16,3680.6,33.98647118,9 Years and 4 Months,Yes,182.6730479,LowspentSmallvaluepayments,149.5080035,1
67,CUS0x9941,August,Subhadip Sircard,40,Mechanic,113652.12,9388.01,4,2,4,2,"Mortgage Loan, and Personal Loan",7,7,8.01,1,316.56,36.51432999,,No,264.9650933,HighspentSmallvaluepayments,762.5855549,3
68,CUS0x66c4,June,Andjarsari Paramadithaf,24,Accountant,34106.58,3126.215,8,9,26,5,"Home Equity Loan, Credit-Builder Loan, Auto Loan, Auto Loan, and Payday Loan",20,21,18.12,9,1672.04,36.0380465,19 Years and 10 Months,Yes,58.17636181,!@9#%8,393.5535104,2
69,CUS0x3f16,August,Tom Polansekt,45,MediaManager,28942.3,2216.858333,8,3,13,2,"Mortgage Loan, and Student Loan",12,,5.08,3,690.71,27.6662691,31 Years and 8 Months,Yes,75.44461803,HighspentMediumvaluepayments,354.4034409,3
70,CUS0x4cf1,February,Rosss,36,Writer,7233.01,666.7508333,10,824,30,5,"Payday Loan, Home Equity Loan, Auto Loan, Personal Loan, and Auto Loan",21,19,9.16,10,2179.32,28.60830196,8 Years and 6 Months,Yes,67.77773515,LowspentSmallvaluepayments,270.2374457,1
71,CUS0xac5f,August,Smithn,44,Teacher,35531.83,2743.985833,1,4,12,4,"Credit-Builder Loan, Mortgage Loan, Auto Loan, and Personal Loan",12,11,1.66,9,313.55,21.50221669,17 Years and 10 Months,No,293.1848641,LowspentSmallvaluepayments,196.0418445,3
72,CUS0x61fd,April,Leongn,33,Entrepreneur,7622.665,848.2220833,42,6,24,5,"Credit-Builder Loan, Payday Loan, Payday Loan, Not Specified, and Debt Consolidation Loan",31,24,6.17,6,2140.48,34.14739559,14 Years and 0 Months,Yes,97.62160896,LowspentSmallvaluepayments,245.539031,1
73,CUS0x8ede,June,Maidmentk,16,Doctor,8359.475,748.6229167,8,9,21,9,"Mortgage Loan, Home Equity Loan, Not Specified, Student Loan, Home Equity Loan, Mortgage Loan, Home Equity Loan, Auto Loan, and Not Specified",30,25,2.92,13,2169.59,24.59023016,16 Years and 6 Months,Yes,49.23471994,LowspentMediumvaluepayments,243.1003111,1
74,CUS0x5ef2,April,Baseso,20,Architect,17804.96,1246.746667,4,4,13,2,"Not Specified, and Personal Loan",12,18,-0.83,3,1226.09,25.46693389,18 Years and 2 Months,No,166.285673,LowspentSmallvaluepayments,227.4524126,2
75,CUS0x9a4a,June,Poppery,15,Musician,52972.5,4600.375,7,5,32,3,"Student Loan, Home Equity Loan, and Mortgage Loan",46,24,7.2,12,2196.59,26.5248862,9 Years and 0 Months,Yes,389.2894771,LowspentSmallvaluepayments,248.0522547,2
76,CUS0x1540,July,Soyoung Kimf,26,Engineer,143252.76,12131.73,5,7,10,4,"Personal Loan, Debt Consolidation Loan, Auto Loan, and Payday Loan",20,13,9.5,1,1186.86,28.67796354,28 Years and 4 Months,No,318.3349038,HighspentMediumvaluepayments,893.110905,2
77,CUS0xb66d,June,Jennifer Sabao,16,Writer,29985.2,,5,8,26,3,"Home Equity Loan, Student Loan, and Student Loan",12,15,21.29,11,1793.18,23.49012495,19 Years and 1 Months,Yes,168.4422045,HighspentSmallvaluepayments,270.0713067,2
78,CUS0x387d,March,Annk,33,Doctor,102279.18,8791.265,7,5,9,5,"Payday Loan, Debt Consolidation Loan, Not Specified, Debt Consolidation Loan, and Mortgage Loan",23,17,11.45,6,959.34,26.61241502,8 Years and 6 Months,Yes,359.9316668,LowspentLargevaluepayments,449.5193063,2
79,CUS0xc063,March,Kimt,26,Entrepreneur,14403.39,922.2825,5,4,8,3,"Mortgage Loan, Mortgage Loan, and Mortgage Loan",11,11,8.98,4,2630.82,37.51302975,14 Years and 3 Months,NM,65.84784059,LowspentSmallvaluepayments,293.0760942,2
80,CUS0xa776,August,,24,Writer,38856.53,3337.044167,3,4,1,3,"Payday Loan, Debt Consolidation Loan, and Payday Loan",6,3,9.43,1,1375.65,30.08896505,,No,211.0810074,LowspentLargevaluepayments,340.8660198,1
81,CUS0x460a,July,Ryan Vlastelicaf,33,Engineer,66571.4,5600.616667,7,9,34,3,"Credit-Builder Loan, Debt Consolidation Loan, and Mortgage Loan",52,24,23.55,7,2383.13,35.70499081,,Yes,411.5685594,LowspentMediumvaluepayments,283.8944724,2
82,CUS0x1a16,January,Leahb,33,Accountant,56391.12,4791.26,9,966,17,6,"Credit-Builder Loan, Credit-Builder Loan, Personal Loan, Personal Loan, Home Equity Loan, and Personal Loan",26,25,20.95,12,3881.11,28.38197578,8 Years and 3 Months,Yes,316.5091967,HighspentSmallvaluepayments,179.3459323,1
83,CUS0x312c,February,Charlesd,14,Architect,56531.6,4643.966667,7,6,23,6,"Home Equity Loan, Payday Loan, Credit-Builder Loan, Mortgage Loan, Personal Loan, and Credit-Builder Loan",13,25,9.39,6,3750.42,39.97173342,11 Years and 9 Months,Yes,292.5913608,HighspentSmallvaluepayments,238.9119762,2
84,CUS0xb3cd,February,Lynnq,14,Mechanic,20739.75,1916.3125,6,10,26,8,"Student Loan, Student Loan, Not Specified, Home Equity Loan, Personal Loan, Student Loan, Auto Loan, and Auto Loan",55,21,9.41,12,3077.36,30.52610048,13 Years and 8 Months,Yes,52.26666151,HighspentMediumvaluepayments,252.2599442,1
85,CUS0x22e3,February,Chang-Ranq,4946,Mechanic,41516.64,3368.72,8,8,17,5,"Home Equity Loan, Not Specified, Payday Loan, Auto Loan, and Personal Loan",54,17,8.35,11,1597.61,25.54609081,19 Years and 11 Months,Yes,25.50523631,HighspentLargevaluepayments,409.0502805,1
86,CUS0x2a57,June,Meganx,20,Engineer,9592.415,502.3679167,3,4,9,3,"Not Specified, Home Equity Loan, and Payday Loan",27,19,1.96,4,754.55,31.73167913,24 Years and 6 Months,No,18.466518,LowspentSmallvaluepayments,309.3945969,1
87,CUS0xbf1d,July,Manoj Kumars,23,Scientist,20434.15,,7,6,8,4,"Mortgage Loan, Student Loan, Student Loan, and Home Equity Loan",12,14,10.6,4,1393.23,32.11196017,17 Years and 7 Months,No,22.09388602,HighspentMediumvaluepayments,335.9414356,2
88,CUS0x691f,January,Tom Milesc,14,Musician,16791.76,1648.313333,8,10,33,3,"Student Loan, Student Loan, and Personal Loan",49,13,16.13,9,2463.9,37.23218653,16 Years and 1 Months,Yes,38.98606712,HighspentLargevaluepayments,334.0338771,1
89,CUS0x627e,July,Forgioner,30,Mechanic,72116.25,,4,7,9,2,"Payday Loan, and Auto Loan",22,13,10.06,8,243.75,35.28128702,18 Years and 9 Months,NM,364.8594537,LowspentLargevaluepayments,416.9336891,2
90,CUS0x89e3,February,LaCapraa,26,Teacher,107808,9138,0,7,1,3,"Student Loan, Mortgage Loan, and Not Specified",10,2,1.05,7,985.31,39.38059082,23 Years and 11 Months,No,,HighspentSmallvaluepayments,591.9514892,2
91,CUS0xfdf,April,,56,Mechanic,70114.38,5679.865,0,4,12,3,"Home Equity Loan, Auto Loan, and Home Equity Loan",1,3,9.9,2243,918.89,25.92611877,24 Years and 10 Months,No,486.451416,LowspentSmallvaluepayments,240.0629113,2
92,CUS0x51eb,March,Natem,41,Journalist,60764.4,5285.7,7,7,11,4,"Personal Loan, Auto Loan, Mortgage Loan, and Credit-Builder Loan",22,9,12.81,6,2065.33,36.56437145,17 Years and 11 Months,Yes,177.6942521,LowspentMediumvaluepayments,467.2487645,2
93,CUS0x817c,August,Emelia Sithole-Matarisek,22,Entrepreneur,18014.3,,8,8,16,6,"Student Loan, Personal Loan, Credit-Builder Loan, Auto Loan, Mortgage Loan, and Personal Loan",58,15,3.43,9,2216.07,33.98947421,13 Years and 10 Months,Yes,86.5068246,LowspentSmallvaluepayments,318.1017441,1
94,CUS0x8d46,August,Braden Reddalle,5751,Mechanic,18248.5,1811.708333,7,7,26,2,"Not Specified, and Not Specified",57,8,14.17,12,1738.41,35.77512053,16 Years and 0 Months,Yes,,!@9#%8,352.0692062,1
95,CUS0x446b,April,Pavel Polityukp,30,MediaManager,11944.675,1010.389583,5,7,6,3,"Auto Loan, Auto Loan, and Auto Loan",24,16,6.82,4,886.94,30.1354411,,No,22.69400735,HighspentLargevaluepayments,298.4708842,2
96,CUS0x4671,May,Alwyn Scottm,45,Scientist,62877.92,5071.826667,9,10,21,3,"Mortgage Loan, Student Loan, and Personal Loan",40,14,11.07,6,2698.89,28.93750496,12 Years and 6 Months,Yes,208.4704761,HighspentMediumvaluepayments,453.5081239,1
97,CUS0x4453,August,Sophie Sassarde,22,Doctor,28045.82,2434.151667,7,7,6,7,"Mortgage Loan, Payday Loan, Auto Loan, Home Equity Loan, Mortgage Loan, Payday Loan, and Debt Consolidation Loan",23,9,21.28,8,324.35,39.37903755,15 Years and 4 Months,Yes,123.5954651,LowspentLargevaluepayments,242.0988647,2
98,CUS0x63d,February,Olivia Orani,21,Developer,19566.15,1888.5125,5,7,5,7,"Not Specified, Home Equity Loan, Debt Consolidation Loan, Auto Loan, Not Specified, Not Specified, and Home Equity Loan",1,9,,8,556.73,24.68368869,9 Years and 2 Months,NM,47.70225479,!@9#%8,332.7892583,2
