ID号,用户标识,月,姓名,年龄,职业,年收入,月基本工资,银行账户数,信用卡数,信用卡利率,获得的贷款数量,贷款类型,平均延迟付款天数,平均延迟付款次数,信用卡限额变化率,信用卡查询次数,剩余债务,信用卡使用率,信用年龄,仅还款最低金额,月投资额,付款行为,月余额,评分等级
5020,CUS0x40f2,February,Markf,39,Mechanic,18322.56,1796.88,6,5,29,9,"Debt Consolidation Loan, Home Equity Loan, Credit-Builder Loan, Personal Loan, Debt Consolidation Loan, Debt Consolidation Loan, Mortgage Loan, Credit-Builder Loan, and Not Specified",37,,24.26,9,4763.02,29.53288786,13 Years and 10 Months,Yes,119.2094016,HighspentSmallvaluepayments,236.4421588,
5021,CUS0x412f,June,Joyceg,22,Manager,29437.24,2645.103333,6,7,34,5,"Not Specified, Personal Loan, Auto Loan, Credit-Builder Loan, and Personal Loan",15,21,30.16,14,3377.59,25.85990789,4 Years and 6 Months,NM,100.6909711,HighspentMediumvaluepayments,297.8150139,
5022,CUS0x6228,March,Kellya,36,,68451.12,5578.26,8,4,8,7,"Not Specified, Mortgage Loan, Mortgage Loan, Mortgage Loan, Home Equity Loan, Not Specified, and Debt Consolidation Loan",10,10,8.75,6,1215.29,39.46538004,11 Years and 7 Months,Yes,130.9968977,HighspentSmallvaluepayments,325.5043284,
5023,CUS0xb586,March,,55,Engineer,27175.69,,8,3,17,1,Debt Consolidation Loan,11,10,4.47,7,1010.89,33.37512402,27 Years and 7 Months,NM,62.48104335,HighspentMediumvaluepayments,396.4408919,
5024,CUS0xa001,June,Leighs,27,Developer,67648.36,5626.363333,10,8,34,9,"Home Equity Loan, Student Loan, Home Equity Loan, Home Equity Loan, Debt Consolidation Loan, Mortgage Loan, Home Equity Loan, Debt Consolidation Loan, and Mortgage Loan",40,17,1.58,10,4865.81,39.02237736,6 Years and 3 Months,Yes,515.7349943,LowspentSmallvaluepayments,76.22051188,
5025,CUS0x4423,July,Fletcherw,50,Scientist,15305.23,942.6425831,8,5,3,4,"Auto Loan, Mortgage Loan, Personal Loan, and Debt Consolidation Loan",7,19,10.57,0,1400.42,31.10720135,31 Years and 4 Months,No,142.0064879,LowspentSmallvaluepayments,231.3854726,
5026,CUS0x70f1,February,Barlynp,33,,12025.84,961.1533333,7,5,17,2,"Personal Loan, and Personal Loan",7,10,9.72,3,1188.36,30.91036837,27 Years and 6 Months,Yes,70.46296303,!@9#%8,297.405209,
5027,CUS0xae4f,June,Anna Ringstromv,31,Lawyer,7369.03,,8,5,24,2,"Payday Loan, and Personal Loan",40,19,0.72,10,1643.49,37.43844646,17 Years and 7 Months,Yes,25.52883121,!@9#%8,285.8473409,
5028,CUS0xeda,July,Ringstrom Johanm,43,Mechanic,78999.96,6396.33,8,5,20,4,"Payday Loan, Payday Loan, Credit-Builder Loan, and Auto Loan",45,24,3.73,16,2062.79,31.00356356,9 Years and 8 Months,Yes,84.77523419,HighspentLargevaluepayments,656.5971596,
5029,CUS0x67cd,July,Francesco Guarascioh,49,Accountant,20703498,680.3558333,7,3,20,-100,"Credit-Builder Loan, Home Equity Loan, Auto Loan, and Personal Loan",10,16,6.48,4,374.7,31.96251408,18 Years and 7 Months,No,42.14972112,LowspentSmallvaluepayments,296.5025607,
5030,CUS0x3f1,May,Edd,22,Accountant,80983.64,6692.636667,6,725,15,4,"Credit-Builder Loan, Student Loan, Not Specified, and Student Loan",19,18,16.91,7,982.44,39.7145987,27 Years and 11 Months,Yes,264.1791119,LowspentMediumvaluepayments,496.6279596,
5031,CUS0xae92,January,,26,Teacher,94287.36,,4,4,13,2,"Student Loan, and Personal Loan",27,17,18.66,2,1261.99,28.83988389,15 Years and 7 Months,Yes,157.1865138,HighspentLargevaluepayments,740.9984699,
5032,CUS0x857a,August,Matthiasq,19,Engineer,108818.2,9177.183333,6,5,4,3,"Debt Consolidation Loan, Not Specified, and Auto Loan",25,16,4.5,6,1210.88,26.35959168,21 Years and 8 Months,No,807.1160509,!@9#%8,183.3152196,
5033,CUS0x4f3b,March,Karen Freifeldi,51,Accountant,44551.13,3539.594167,0,5,2,4,"Home Equity Loan, Debt Consolidation Loan, Home Equity Loan, and Debt Consolidation Loan",6,1,6.55,0,945.42,39.05272211,17 Years and 4 Months,No,185.4727816,LowspentSmallvaluepayments,330.726914,
5034,CUS0xae30,January,Andreas Cremeru,36,Architect,98198.07,8079.1725,1,3,10,3,"Not Specified, Student Loan, and Student Loan",27,3,2.23,2,433.07,30.30314588,29 Years and 11 Months,No,1002.161201,LowspentSmallvaluepayments,,
5035,CUS0x1f91,July,Lefterisa,45,Entrepreneur,37986.18,3046.515,7,6,25,8,"Auto Loan, Mortgage Loan, Auto Loan, Credit-Builder Loan, Debt Consolidation Loan, Auto Loan, Student Loan, and Student Loan",45,16,25.21,10,3607.64,39.50943765,7 Years and 11 Months,Yes,127.9705806,LowspentLargevaluepayments,312.0993858,
5036,CUS0x9ff3,January,Rp,43,Teacher,40403.35,3340.945833,1,5,3,2,"Auto Loan, and Not Specified",11,10,4.94,1,303.23,36.51666458,15 Years and 7 Months,No,325.6522221,LowspentMediumvaluepayments,233.2166924,
5037,CUS0xa1be,March,Willsx,18,Musician,8814.92,,10,7,23,8,"Auto Loan, Payday Loan, Payday Loan, Debt Consolidation Loan, Home Equity Loan, Not Specified, Personal Loan, and Student Loan",21,24,0.53,9,2079.47,28.19548858,13 Years and 6 Months,Yes,76.487086,LowspentLargevaluepayments,248.3674116,
5038,CUS0xb3fe,August,,20,Teacher,73716.2,6214.016667,7,3,16,5,"Auto Loan, Credit-Builder Loan, Not Specified, Mortgage Loan, and Not Specified",10,8,11.87,10,2444.21,37.30131704,15 Years and 6 Months,Yes,,HighspentLargevaluepayments,469.3873401,
5039,CUS0x7cfb,July,Joyg,24,Accountant,69905.36,6090.446667,6,5,14,3,"Student Loan, Student Loan, and Credit-Builder Loan",21,19,4.59,1,1216.15,41.19878051,20 Years and 8 Months,No,133.6645727,HighspentLargevaluepayments,554.4785201,
5040,CUS0x579e,July,,40,Journalist,19723.82,1398.651667,10,8,23,3,"Auto Loan, Personal Loan, and Auto Loan",46,16,2.45,2352,2683.21,31.07612694,12 Years and 9 Months,Yes,132.373477,LowspentSmallvaluepayments,248.6515927,
5041,CUS0x9730,July,George Georgiopoulosp,32,Teacher,55246.77,4390.8975,4,4,20,2,"Debt Consolidation Loan, and Debt Consolidation Loan",32,,11.19,6,1818.27,29.13326659,5 Years and 10 Months,Yes,105.2191368,HighspentLargevaluepayments,502.6650069,
5042,CUS0xa384,February,Toonkelc,43,Doctor,33030.03,2604.5025,3,5,4,1,Debt Consolidation Loan,5,10,,1,1289.96,34.19859151,16 Years and 0 Months,No,79.61933025,HighspentMediumvaluepayments,407.9293411,
5043,CUS0x2b77,February,Longstretho,21,Doctor,15167.62,1471.968333,4,5,3,1,Credit-Builder Loan,4,5,8.36,3,847.03,27.43465524,27 Years and 2 Months,No,66.59898294,LowspentSmallvaluepayments,360.6670413,
5044,CUS0x82c1,July,Joachim Dagenborgv,28,Manager,30883.32,2311.61,6,5,8,3,"Mortgage Loan, Not Specified, and Debt Consolidation Loan",15,10,9.24,9,1891.76,36.88588809,,Yes,309.247003,LowspentSmallvaluepayments,161.7642986,
5045,CUS0x2a5c,April,,21,Doctor,160838.32,13290.19333,5,4,12,1,Debt Consolidation Loan,3,6,15.37,4,156.76,30.20846073,30 Years and 6 Months,No,10000,LowspentMediumvaluepayments,434.012924,
5046,CUS0x38b0,February,Ju-min Parkg,23,Entrepreneur,80411.04,6694.92,8,4,11,1,Payday Loan,10,10,5.71,2,1413.55,31.06117578,15 Years and 4 Months,No,57.04056938,HighspentLargevaluepayments,786.7123808,
5047,CUS0x2507,June,Padraicw,30,Architect,12186.425,991.5354167,6,5,8,1,Personal Loan,25,20,8.95,6,176.84,37.68638567,18 Years and 4 Months,No,16.04929655,HighspentLargevaluepayments,313.5198072,
5048,CUS0x90d8,May,Caroline Valetkevitchj,44,Engineer,67930.88,5729.906667,5,4,25,7,"Debt Consolidation Loan, Personal Loan, Home Equity Loan, Mortgage Loan, Debt Consolidation Loan, Credit-Builder Loan, and Payday Loan",24,11,11.28,7,2486.49,32.00127066,8 Years and 11 Months,Yes,,LowspentLargevaluepayments,299.1763396,
5049,CUS0x2452,April,Juccak,17,MediaManager,65806.24,5626.853333,4,7,20,7,"Mortgage Loan, Not Specified, Payday Loan, Debt Consolidation Loan, Mortgage Loan, Home Equity Loan, and Home Equity Loan",15,18,12.26,7,2301.51,26.43910719,11 Years and 5 Months,Yes,112.7960697,HighspentMediumvaluepayments,470.4670433,
5050,CUS0x28ec,March,Michael Roddyt,33,Musician,48121.32,4253.11,6,9,29,2,"Debt Consolidation Loan, and Mortgage Loan",21,20,9.13,12,1896.8,38.94156813,6 Years and 11 Months,Yes,342.8131151,LowspentSmallvaluepayments,314.423055,
5051,CUS0xf15,March,Frankeld,25,Developer,45652.17,3888.3475,8,6,13,7,"Mortgage Loan, Payday Loan, Debt Consolidation Loan, Auto Loan, Student Loan, Payday Loan, and Credit-Builder Loan",5,12,17.94,8,28.54,39.06021731,,Yes,,HighspentLargevaluepayments,399.93655,
5052,CUS0xb3c2,July,Shirbonv,36,MediaManager,20487.905,,4,4,2,3,"Mortgage Loan, Payday Loan, and Credit-Builder Loan",9,1954,6.05,1,1464.77,35.9353198,21 Years and 2 Months,NM,161.2641638,LowspentSmallvaluepayments,261.6330832,
5053,CUS0x7bc3,July,ewichs,45,Doctor,7636.4,884.3666667,6,9,20,7,"Debt Consolidation Loan, Personal Loan, Mortgage Loan, Personal Loan, Not Specified, Mortgage Loan, and Home Equity Loan",37,14,20.33,8,2614.48,32.52583687,9 Years and 5 Months,Yes,45.25870195,LowspentMediumvaluepayments,291.0666173,
5054,CUS0x32e2,March,Sebastian Moffettp,44,Teacher,31172.1,2600.675,6,10,16,5,"Not Specified, Not Specified, Student Loan, Auto Loan, and Student Loan",50,23,26.93,7,3912.19,30.12464641,9 Years and 11 Months,Yes,185.0658636,LowspentLargevaluepayments,238.9560322,
5055,CUS0x1631,July,Karen Jacobsy,45,,63093.32,5212.776667,4,1127,7,3,"Credit-Builder Loan, Debt Consolidation Loan, and Student Loan",16,15,11.71,6,1441.44,38.67514922,8 Years and 9 Months,Yes,158.6249323,HighspentMediumvaluepayments,491.8022941,
5056,CUS0x50f7,May,Stanleyb,29,Developer,74008.84,6229.403333,9,7,32,5,"Credit-Builder Loan, Credit-Builder Loan, Home Equity Loan, Personal Loan, and Mortgage Loan",21,22,1.62,7,1548.55,38.56077228,15 Years and 2 Months,Yes,724.1542949,LowspentSmallvaluepayments,18.29275352,
5057,CUS0x3263,July,Annar,36,Manager,132643.71,11028.6425,0,5,12,1,Debt Consolidation Loan,7,10,10.79,4,1439.7,37.87749197,20 Years and 7 Months,No,478.0067568,LowspentMediumvaluepayments,846.2296515,
5058,CUS0x8a74,June,Mikolajczakc,47,MediaManager,106695.48,7810.766879,3,5,5,2,"Mortgage Loan, and Mortgage Loan",13,,5.18,3,715.37,36.80113351,31 Years and 9 Months,No,147.852578,HighspentMediumvaluepayments,854.174368,
5059,CUS0x8e93,April,Turnerl,38,Writer,59227.68,4790.64,10,5,26,2,"Payday Loan, and Debt Consolidation Loan",45,16,7.7,11,1277.25,34.37675938,,Yes,176.4487093,!@9#%8,461.0239497,
5060,CUS0x32a7,April,Lucyx,43,Journalist,10460.245,995.6870833,8,5,25,6,"Credit-Builder Loan, Credit-Builder Loan, Student Loan, Mortgage Loan, Personal Loan, and Debt Consolidation Loan",7,11,15.09,8,2625.88,35.70998423,16 Years and 8 Months,Yes,68.63910385,LowspentSmallvaluepayments,282.6533756,
5061,CUS0x515a,August,Dena Aubing,21,Developer,22500.52,,5,3,19,5,"Payday Loan, Home Equity Loan, Mortgage Loan, Debt Consolidation Loan, and Personal Loan",14,,16.61,8,864.7,33.08629049,12 Years and 10 Months,Yes,99.76825098,LowspentMediumvaluepayments,292.2150562,
5062,CUS0x8ba7,May,Wolfe,32,Journalist,34153.67,2702.139167,6,7,17,2,"Personal Loan, and Not Specified",19,14,6.94,4,226.31,30.7577925,,NM,158.6496434,HighspentSmallvaluepayments,321.5116543,
5063,CUS0x9398,March,Caroline Valetkevitchn,53,Scientist,134790.56,11053.54667,4,5,14,-100,Mortgage Loan,30,9,2.93,2,349.04,42.44993019,30 Years and 6 Months,NM,255.9209352,HighspentLargevaluepayments,977.5204058,
5064,CUS0x4e4a,August,Piersonq,49,Writer,86186.37,7438.1975,7,3,10,3,"Student Loan, Auto Loan, and Mortgage Loan",28,10,10.39,4,524.53,30.95804104,15 Years and 9 Months,Yes,183.7980094,HighspentSmallvaluepayments,627.6255415,
5065,CUS0x1132,February,Jonathano,39,,46268.4,3983.7,5,4,20,4,"Student Loan, Debt Consolidation Loan, Student Loan, and Home Equity Loan",28,19,7.58,7,1447.57,25.28783804,13 Years and 6 Months,Yes,215.3234739,LowspentLargevaluepayments,349.268476,
5066,CUS0xb443,July,Kerbere,21,Doctor,147819.96,12452.33,3,5,15,2,"Payday Loan, and Debt Consolidation Loan",12,14,4.68,4,1205.02,37.895876,27 Years and 4 Months,NM,89.43525909,HighspentLargevaluepayments,1171.166325,
5067,CUS0x7453,February,Georgiopoulosp,23,Engineer,18569.39,1671.449167,10,5,18,8,"Student Loan, Not Specified, Mortgage Loan, Home Equity Loan, Debt Consolidation Loan, Personal Loan, Student Loan, and Credit-Builder Loan",26,20,25.43,7,3791.88,24.33556856,11 Years and 6 Months,Yes,55.59213209,LowspentLargevaluepayments,271.7027566,
5068,CUS0x4eea,January,Ryan Vlastelicai,43,Mechanic,35205.24,3025.77,3,7,6,-100,Mortgage Loan,8,8,11.85,0,851.4,28.7673616,17 Years and 2 Months,No,342.5580031,LowspentSmallvaluepayments,226.7835671,
5069,CUS0x775a,January,Euan Rochao,34,Teacher,85742.82,7111.235,2,2,1,-100,"Payday Loan, and Debt Consolidation Loan",0,2,4.74,4,1253.52,26.78857075,16 Years and 11 Months,No,131.3386078,HighspentLargevaluepayments,710.4224149,
5070,CUS0x9ba4,August,Rickj,20,Journalist,30931.16,2521.596667,4,7,15,6,"Home Equity Loan, Credit-Builder Loan, Not Specified, Debt Consolidation Loan, Not Specified, and Mortgage Loan",15,14,14.41,10,775.33,39.46966862,16 Years and 8 Months,Yes,163.3591462,LowspentLargevaluepayments,277.3257103,
5071,CUS0x6f38,May,Ransdellj,31,Entrepreneur,60552.76,4950.063333,3,7,12,3,"Mortgage Loan, Home Equity Loan, and Auto Loan",25,3815,10.72,4,463.07,34.12312979,,NM,10000,LowspentSmallvaluepayments,10.30550807,
5072,CUS0x25ed,April,,54,Writer,57365.73,4730.4775,8,4,8,2,"Payday Loan, and Mortgage Loan",28,8,13.82,470,997.45,30.29241447,17 Years and 2 Months,Yes,64.3051636,!@9#%8,571.3515803,
5073,CUS0x97d1,April,Cyntia Barrerax,32,MediaManager,37885.46,3047.121667,4,7,22,6,"Credit-Builder Loan, Auto Loan, Auto Loan, Student Loan, Auto Loan, and Debt Consolidation Loan",30,8,9.61,11,2618.46,38.84220964,14 Years and 5 Months,NM,54.1109106,HighspentSmallvaluepayments,388.0454642,
5074,CUS0x1a4d,May,,25,Accountant,70646.64,,4,8,21,7,"Home Equity Loan, Mortgage Loan, Credit-Builder Loan, Debt Consolidation Loan, Debt Consolidation Loan, Not Specified, and Credit-Builder Loan",23,11,19.35,9,1639.04,32.94731135,16 Years and 2 Months,Yes,90.79373249,HighspentMediumvaluepayments,421.1739034,
5075,CUS0xa61a,July,Marton Dunaig,23,,20538.77,,8,10,23,6,"Auto Loan, Home Equity Loan, Auto Loan, Home Equity Loan, Not Specified, and Payday Loan",15,18,3.42,6,2708.55,36.249504,12 Years and 7 Months,Yes,127.0549299,LowspentSmallvaluepayments,282.1573322,
5076,CUS0x5e78,May,,41,,16259.845,1398.987083,3,7,6,4,"Home Equity Loan, Student Loan, Student Loan, and Payday Loan",4,12,-1.4,5,1118.03,30.46247308,32 Years and 7 Months,NM,100.1158183,LowspentMediumvaluepayments,283.698621,
5077,CUS0x584b,January,Barkinj,26,Accountant,92565.81,7870.8175,4,5,14,1,Personal Loan,16,13,16.95,0,1236.76,33.18819968,15 Years and 11 Months,No,956.4965422,LowspentSmallvaluepayments,65.32321112,
5078,CUS0x5682,March,,18,Entrepreneur,28102.06,2115.838333,9,9,30,6,"Credit-Builder Loan, Home Equity Loan, Mortgage Loan, Not Specified, Home Equity Loan, and Home Equity Loan",28,21,21.14,11,3240.55,31.41622239,4 Years and 0 Months,Yes,265.3687506,LowspentSmallvaluepayments,121.9505368,
5079,CUS0x402d,May,Scruttonh,34,Accountant,46817.5,4142.458333,8,3,10,4,"Not Specified, Payday Loan, Auto Loan, and Personal Loan",17,14,11.45,1,613.71,37.96336129,17 Years and 2 Months,No,146.0329357,HighspentMediumvaluepayments,412.033989,
5080,CUS0x7be2,May,Andrei Khalipi,44,Journalist,71889.08,6266.756667,7,8,22,3,"Debt Consolidation Loan, Payday Loan, and Personal Loan",43,11,18.49,15,2461.32,29.20921807,20 Years and 3 Months,Yes,41.4505848,HighspentLargevaluepayments,715.5643049,
5081,CUS0x799b,April,,33,Engineer,22007.11,,3,4,14,4,"Credit-Builder Loan, Personal Loan, Payday Loan, and Auto Loan",25,11,7.48,0,1330.7,28.50489714,28 Years and 8 Months,Yes,36.26639575,HighspentLargevaluepayments,356.9986091,
5082,CUS0x6d2c,May,Danilo Masoniq,18,Scientist,18226.13,1383.844167,8,3,15,5,"Student Loan, Mortgage Loan, Home Equity Loan, Mortgage Loan, and Payday Loan",17,20,15.9,4,1125.37,36.74557305,19 Years and 3 Months,Yes,91.41737828,HighspentSmallvaluepayments,245.6144702,
5083,CUS0xa495,April,Alperx,38,MediaManager,21206.82,1881.235,1,5,4,1,Credit-Builder Loan,-5,13,-2.5,4,246.86,27.2248202,25 Years and 0 Months,No,203.6084181,!@9#%8,260.0839359,
5084,CUS0x136b,May,Luciana Otonit,5610,Writer,120260.2,9904.683333,4,5,14,1,Mortgage Loan,12,20,18.5,2,1436.96,40.39440512,20 Years and 9 Months,Yes,674.1490068,LowspentLargevaluepayments,533.1642038,
5085,CUS0x4218,June,Leskew,31,Journalist,17150.52,1191.21,8,10,32,5,"Debt Consolidation Loan, Student Loan, Payday Loan, Not Specified, and Auto Loan",15,21,17.04,9,2515.23,35.85163099,11 Years and 0 Months,Yes,,LowspentMediumvaluepayments,284.4073241,
5086,CUS0x3182,March,Deyj,35,Accountant,132082.17,,3,4,12,3,"Auto Loan, Home Equity Loan, and Not Specified",6,7,3.59,7,1191.15,25.68551552,18 Years and 7 Months,No,760.477658,LowspentSmallvaluepayments,439.9507978,
5087,CUS0x3ffe,March,Jeanineh,31,Lawyer,90411.9,7394.325,7,3,16,1,Student Loan,22,11,3.97,5,472.21,34.79056777,,Yes,65.14151793,HighspentLargevaluepayments,842.1118903,
5088,CUS0xc651,July,Antonella Cianciof,14,Journalist,104428.08,8866.34,3,4,8,-100,"Mortgage Loan, Payday Loan, Home Equity Loan, and Not Specified",19,20,14.72,13,265.56,24.61287824,20 Years and 3 Months,Yes,314.9883599,LowspentLargevaluepayments,662.5180796,
5089,CUS0x4d1,April,,36,Developer,123802.52,10498.87667,4,3,20,2,"Mortgage Loan, and Payday Loan",24,16,,2,954.71,39.23800928,26 Years and 1 Months,No,297.3510487,LowspentLargevaluepayments,898.3985457,
5090,CUS0xc134,June,Huwz,38,Accountant,86529.48,7463.79,7,5,19,2,"Mortgage Loan, and Credit-Builder Loan",5,8,7.22,1,1102.41,41.64278502,19 Years and 7 Months,No,305.9866526,HighspentMediumvaluepayments,603.7946957,
5091,CUS0xb2c0,April,Thomast,20,Scientist,111188.04,9318.67,8,5,6,4,"Auto Loan, Personal Loan, Personal Loan, and Student Loan",19,17,15.99,4,440.78,27.84644843,17 Years and 4 Months,Yes,121.160253,HighspentLargevaluepayments,805.2422088,
5092,CUS0xa3b4,January,Shirbone,15,Scientist,19648.09,1890.340833,7,3,14,4,"Home Equity Loan, Mortgage Loan, Personal Loan, and Student Loan",17,16,9,7,2052.35,33.20748455,11 Years and 9 Months,Yes,47.92369642,HighspentSmallvaluepayments,361.4462834,
5093,CUS0x6000,July,Palmerf,25,Developer,25203.1,2234.258333,5,7,17,-100,"Auto Loan, and Credit-Builder Loan",8,9,2.61,3,393.77,36.10265464,30 Years and 4 Months,Yes,69.25553974,HighspentMediumvaluepayments,364.9000464,
5094,CUS0xbae9,April,Schombergu,30,Scientist,106520.68,8789.723333,4,4,13,2,"Mortgage Loan, and Home Equity Loan",5,16,12.39,8,653.6,32.31618882,14 Years and 7 Months,Yes,418.8431571,LowspentMediumvaluepayments,641.7913645,
5095,CUS0x993d,August,Marc Jonese,47,Doctor,89057.64,7318.47,5,3,10,2,"Mortgage Loan, and Credit-Builder Loan",14,23,6.32,3,600.66,28.07516943,33 Years and 6 Months,No,10000,HighspentLargevaluepayments,725.3539034,
5096,CUS0x6809,February,Leahp,19,,41209.68,3413.14,6,7,31,7,"Mortgage Loan, Not Specified, Not Specified, Mortgage Loan, Student Loan, Auto Loan, and Credit-Builder Loan",48,21,9.23,10,1801.46,25.82492874,6 Years and 9 Months,Yes,169.3396905,HighspentSmallvaluepayments,304.2265893,
5097,CUS0xaf8d,July,Freifeldw,49,Architect,98518.68,8050.89,8,5,18,2,"Payday Loan, and Home Equity Loan",5,15,10.35,1340,128.35,36.2454593,29 Years and 4 Months,Yes,160.829665,HighspentMediumvaluepayments,740.8157836,
5098,CUS0x4c1c,February,Paritosh Bansalb,41,MediaManager,106602.63,8924.5525,7,5,12,2,"Credit-Builder Loan, and Personal Loan",25,22,11.33,4,962.51,37.05750468,30 Years and 0 Months,No,848.04593,LowspentMediumvaluepayments,198.4950574,
